StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature,RoadTempMin-max,AirTempMin-Max,RoadTempZ,AirTempZ,RoadTempDec,AirTempDec
AlbroPlaceAirportWay,"{'type': 'Point', 'coordinates': [-122.314114, 47.547426]}",2020-06-07T00:25:00.000,830958,12.78,28.59,0.000000,0.134159,-2.629825,-2.193637,0.127800,0.285900
AlbroPlaceAirportWay,"{'type': 'Point', 'coordinates': [-122.314114, 47.547426]}",2020-06-07T00:26:00.000,830959,12.8,28.53,0.000243,0.133377,-2.628597,-2.199179,0.128000,0.285300
AlbroPlaceAirportWay,"{'type': 'Point', 'coordinates': [-122.314114, 47.547426]}",2020-06-07T00:27:00.000,830960,12.81,28.54,0.000365,0.133507,-2.627984,-2.198255,0.128100,0.285400
AlbroPlaceAirportWay,"{'type': 'Point', 'coordinates': [-122.314114, 47.547426]}",2020-06-07T00:28:00.000,830961,12.82,28.7,0.000486,0.135593,-2.627370,-2.183478,0.128200,0.287000
AlbroPlaceAirportWay,"{'type': 'Point', 'coordinates': [-122.314114, 47.547426]}",2020-06-07T00:29:00.000,830962,12.84,28.79,0.000730,0.136767,-2.626143,-2.175166,0.128400,0.287900
AlbroPlaceAirportWay,"{'type': 'Point', 'coordinates': [-122.314114, 47.547426]}",2020-06-07T00:30:00.000,830963,12.85,28.76,0.000851,0.136376,-2.625530,-2.177937,0.128500,0.287600
AuroraBridge,"{'type': 'Point', 'coordinates': [-122.347278, 47.643174]}",2020-06-07T00:16:00.000,3902970,65.08,53.15,0.636098,0.454368,0.579209,0.074668,0.650800,0.531500
AuroraBridge,"{'type': 'Point', 'coordinates': [-122.347278, 47.643174]}",2020-06-07T00:17:00.000,3902971,65.07,53.15,0.635977,0.454368,0.578595,0.074668,0.650700,0.531500
AuroraBridge,"{'type': 'Point', 'coordinates': [-122.347278, 47.643174]}",2020-06-07T00:18:00.000,3902972,65.04,53.17,0.635612,0.454628,0.576754,0.076514,0.650400,0.531700
AuroraBridge,"{'type': 'Point', 'coordinates': [-122.347278, 47.643174]}",2020-06-07T00:19:00.000,3902973,65.04,53.14,0.635612,0.454237,0.576754,0.073744,0.650400,0.531400
